"count","name","unicode","bytes","emojiid","emoji","rencoding","dens","dens.sm","rank"
4,"dizzy symbol","U+1F4AB","\xF0\x9F\x92\xAB",579,"💫","<ed><a0><bd><ed><b2><ab>",0.1,0.000102013751453696,164
4,"worried face","U+1F61F","\xF0\x9F\x98\x9F",730,"😟","<ed><a0><bd><ed><b8><9f>",0.1,0.000102013751453696,165
4,"new moon with face","U+1F31A","\xF0\x9F\x8C\x9A",780,"🌚","<ed><a0><bc><ed><bc><9a>",0.1,0.000102013751453696,166
3,"dizzy face","U+1F635","\xF0\x9F\x98\xB5",37,"😵","<ed><a0><bd><ed><b8><b5>",0.1,8.16110011629568e-05,167
3,"digit one + combining enclosing keycap","U+0031 U+20E3","\x31\xE2\x83\xA3",170,"1⃣","1<e2><83><a3>",0.1,8.16110011629568e-05,168
3,"ballot box with check","U+2611","\xE2\x98\x91",206,"☑","<e2><98><91>",0.1,8.16110011629568e-05,169
3,"baseball","U+26BE","\xE2\x9A\xBE",236,"⚾","<e2><9a><be>",0.1,8.16110011629568e-05,170
3,"sunrise","U+1F305","\xF0\x9F\x8C\x85",267,"🌅","<ed><a0><bc><ed><bc><85>",0.1,8.16110011629568e-05,171
3,"banana","U+1F34C","\xF0\x9F\x8D\x8C",308,"🍌","<ed><a0><bc><ed><bd><8c>",0.1,8.16110011629568e-05,172
3,"ribbon","U+1F380","\xF0\x9F\x8E\x80",355,"🎀","<ed><a0><bc><ed><be><80>",0.1,8.16110011629568e-05,173
3,"birthday cake","U+1F382","\xF0\x9F\x8E\x82",357,"🎂","<ed><a0><bc><ed><be><82>",0.1,8.16110011629568e-05,174
3,"chicken","U+1F414","\xF0\x9F\x90\x94",436,"🐔","<ed><a0><bd><ed><b0><94>",0.1,8.16110011629568e-05,175
3,"rabbit face","U+1F430","\xF0\x9F\x90\xB0",461,"🐰","<ed><a0><bd><ed><b0><b0>",0.1,8.16110011629568e-05,176
3,"bear face","U+1F43B","\xF0\x9F\x90\xBB",472,"🐻","<ed><a0><bd><ed><b0><bb>",0.1,8.16110011629568e-05,177
3,"paw prints","U+1F43E","\xF0\x9F\x90\xBE",475,"🐾","<ed><a0><bd><ed><b0><be>",0.1,8.16110011629568e-05,178
3,"white left pointing backhand index","U+1F448","\xF0\x9F\x91\x88",483,"👈","<ed><a0><bd><ed><b1><88>",0.1,8.16110011629568e-05,179
3,"open hands sign","U+1F450","\xF0\x9F\x91\x90",491,"👐","<ed><a0><bd><ed><b1><90>",0.1,8.16110011629568e-05,180
3,"woman","U+1F469","\xF0\x9F\x91\xA9",515,"👩","<ed><a0><bd><ed><b1><a9>",0.1,8.16110011629568e-05,181
3,"bomb","U+1F4A3","\xF0\x9F\x92\xA3",571,"💣","<ed><a0><bd><ed><b2><a3>",0.1,8.16110011629568e-05,182
3,"books","U+1F4DA","\xF0\x9F\x93\x9A",623,"📚","<ed><a0><bd><ed><b3><9a>",0.1,8.16110011629568e-05,183
3,"anguished face","U+1F627","\xF0\x9F\x98\xA7",732,"😧","<ed><a0><bd><ed><b8><a7>",0.1,8.16110011629568e-05,184
3,"face without mouth","U+1F636","\xF0\x9F\x98\xB6",737,"😶","<ed><a0><bd><ed><b8><b6>",0.1,8.16110011629568e-05,185
2,"smiling cat face with open mouth","U+1F63A","\xF0\x9F\x98\xBA",41,"😺","<ed><a0><bd><ed><b8><ba>",0,6.12082508722176e-05,186
2,"weary cat face","U+1F640","\xF0\x9F\x99\x80",47,"🙀","<ed><a0><bd><ed><b9><80>",0,6.12082508722176e-05,187
2,"face with no good gesture","U+1F645","\xF0\x9F\x99\x85",48,"🙅","<ed><a0><bd><ed><b9><85>",0,6.12082508722176e-05,188
2,"face with ok gesture","U+1F646","\xF0\x9F\x99\x86",49,"🙆","<ed><a0><bd><ed><b9><86>",0,6.12082508722176e-05,189
2,"person bowing deeply","U+1F647","\xF0\x9F\x99\x87",50,"🙇","<ed><a0><bd><ed><b9><87>",0,6.12082508722176e-05,190
2,"airplane","U+2708","\xE2\x9C\x88",61,"✈","<e2><9c><88>",0,6.12082508722176e-05,191
