"name","unicode","bytes","emojiid","emoji","rencoding"
"squared cjk unified ideograph-6708","U+1F237","\xF0\x9F\x88\xB7",156,"🈷","<ed><a0><bc><ed><b8><b7>"
"squared cjk unified ideograph-7533","U+1F238","\xF0\x9F\x88\xB8",157,"🈸","<ed><a0><bc><ed><b8><b8>"
"squared cjk unified ideograph-5272","U+1F239","\xF0\x9F\x88\xB9",158,"🈹","<ed><a0><bc><ed><b8><b9>"
"squared cjk unified ideograph-55b6","U+1F23A","\xF0\x9F\x88\xBA",159,"🈺","<ed><a0><bc><ed><b8><ba>"
"circled ideograph advantage","U+1F250","\xF0\x9F\x89\x90",160,"🉐","<ed><a0><bc><ed><b9><90>"
"circled ideograph accept","U+1F251","\xF0\x9F\x89\x91",161,"🉑","<ed><a0><bc><ed><b9><91>"
"copyright sign","U+00A9","\xC2\xA9",162,"©","<c2><a9>"
"registered sign","U+00AE","\xC2\xAE",163,"®","<c2><ae>"
"double exclamation mark","U+203C","\xE2\x80\xBC",164,"‼","<e2><80><bc>"
"exclamation question mark","U+2049","\xE2\x81\x89",165,"⁉","<e2><81><89>"
"digit eight + combining enclosing keycap","U+0038 U+20E3","\x38\xE2\x83\xA3",166,"8⃣","8<e2><83><a3>"
"digit nine + combining enclosing keycap","U+0039 U+20E3","\x39\xE2\x83\xA3",167,"9⃣","9<e2><83><a3>"
"digit seven + combining enclosing keycap","U+0037 U+20E3","\x37\xE2\x83\xA3",168,"7⃣","7<e2><83><a3>"
"digit six + combining enclosing keycap","U+0036 U+20E3","\x36\xE2\x83\xA3",169,"6⃣","6<e2><83><a3>"
"digit one + combining enclosing keycap","U+0031 U+20E3","\x31\xE2\x83\xA3",170,"1⃣","1<e2><83><a3>"
"digit zero + combining enclosing keycap","U+0030 U+20E3","\x30\xE2\x83\xA3",171,"0⃣","0<e2><83><a3>"
"digit two + combining enclosing keycap","U+0032 U+20E3","\x32\xE2\x83\xA3",172,"2⃣","2<e2><83><a3>"
"digit three + combining enclosing keycap","U+0033 U+20E3","\x33\xE2\x83\xA3",173,"3⃣","3<e2><83><a3>"
"digit five + combining enclosing keycap","U+0035 U+20E3","\x35\xE2\x83\xA3",174,"5⃣","5<e2><83><a3>"
"digit four + combining enclosing keycap","U+0034 U+20E3","\x34\xE2\x83\xA3",175,"4⃣","4<e2><83><a3>"
"number sign + combining enclosing keycap","U+0023 U+20E3","\x23\xE2\x83\xA3",176,"#⃣","#<e2><83><a3>"
"trade mark sign","U+2122","\xE2\x84\xA2",177,"™","<e2><84><a2>"
"information source","U+2139","\xE2\x84\xB9",178,"ℹ","<e2><84><b9>"
"left right arrow","U+2194","\xE2\x86\x94",179,"↔","<e2><86><94>"
"up down arrow","U+2195","\xE2\x86\x95",180,"↕","<e2><86><95>"
"north west arrow","U+2196","\xE2\x86\x96",181,"↖","<e2><86><96>"
"north east arrow","U+2197","\xE2\x86\x97",182,"↗","<e2><86><97>"
"south east arrow","U+2198","\xE2\x86\x98",183,"↘","<e2><86><98>"
"south west arrow","U+2199","\xE2\x86\x99",184,"↙","<e2><86><99>"
"leftwards arrow with hook","U+21A9","\xE2\x86\xA9",185,"↩","<e2><86><a9>"
"rightwards arrow with hook","U+21AA","\xE2\x86\xAA",186,"↪","<e2><86><aa>"
"watch","U+231A","\xE2\x8C\x9A",187,"⌚","<e2><8c><9a>"
